acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.987,"['Samuel Barber', 'Vladimir Horowitz']",0.242,115627,0.149,0,6v13FCz4z385EbNyPaXYCU,0.877,0,0.134,-26.742,1,"Piano Sonata in E-Flat Minor, Op. 26: II. Allegro vivace e leggero",0,1928,0.0369,88.18799999999996,0.279,1928
0.99,"['Frédéric Chopin', 'Vladimir Horowitz']",0.444,104013,0.0431,0,6vK4MMy5CNIUNvFXlG9NuF,0.889,1,0.124,-26.77,1,"Étude in G-Flat Major, Op. 10, No. 5 ""Black Keys""",1,1928,0.041,106.062,0.404,1928
0.725,['Seweryn Goszczyński'],0.7909999999999999,107800,0.234,0,6vniIHqoSV74xRTMdomqij,0.0,8,0.152,-17.951,1,Chapter 2.16 - Zamek kaniowski,0,1928,0.947,37.596,0.705,1928
0.99,"['Frédéric Chopin', 'Vladimir Horowitz']",0.272,473227,0.281,0,6wt8PKNBSqNFqdOxgexvKu,0.867,10,0.087,-16.227999999999998,0,"Piano Sonata No. 2, Op. 35: I. Grave - Doppio movimento",0,1928,0.0365,99.27,0.0775,1928
0.993,"['Francisco Canaro', 'Charlo']",0.466,204000,0.161,0,6x09M8ELRKDbwPH1y1uTje,0.764,6,0.118,-13.007,0,Always - Remasterizado,0,1928-09-25,0.0576,75.24,0.447,1928
0.989,"['Frédéric Chopin', 'Vladimir Horowitz']",0.28,254107,0.0463,0,6xpA90VSHtmaUhNltHIcVM,0.873,11,0.0743,-19.78,1,"Nocturne in E Minor, Op. 72, No. 1",1,1928,0.0347,100.131,0.0722,1928
0.995,"['Robert Schumann', 'Vladimir Horowitz']",0.389,94307,0.263,0,6yOkXNFTUxZpnXXu1yJT3l,0.914,5,0.128,-15.034,0,"Sonata No. 3, Op. 14: III: Variation II",0,1928,0.0354,73.98100000000002,0.188,1928
0.993,['Paul Whiteman'],0.523,202173,0.0867,0,6yanEXQBzoNKlWJzKGBpsb,0.124,10,0.14,-17.528,1,Reaching for Someone (And Not Finding Anyone There),1,1928,0.0707,161.687,0.6970000000000001,1928
0.918,['Leroy Carr'],0.754,184840,0.194,0,6yx49288aRqkexZC1BoldM,4.34e-05,3,0.188,-11.634,1,Midnight Hour Blues,1,1928,0.053,84.042,0.454,1928
0.992,"['Frédéric Chopin', 'Vladimir Horowitz']",0.301,785427,0.0823,0,71FaVeFy9ZOiQRY4yOijey,0.852,1,0.087,-23.282,1,"Polonaise-Fantaisie in A-Flat Major, Op. 61",0,1928,0.0382,137.296,0.0548,1928
0.993,"['Frédéric Chopin', 'Vladimir Horowitz']",0.409,318267,0.0224,0,722u6arjn98Ygql8TyqKZz,0.908,1,0.13,-18.234,1,"Nocturne in C-Sharp Minor, Op. 27, No. 1 - 2001 Remastered",1,1928,0.0441,126.458,0.0655,1928
0.995,"['Alexander Scriabin', 'Vladimir Horowitz']",0.411,97627,0.211,0,72f1VDD6VELfZybK1Wkggy,0.8759999999999999,2,0.106,-16.423,0,"Preludes: Op. 59, No. 2",0,1928,0.0489,79.812,0.119,1928
0.992,"['Dmitry Kabalevsky', 'Vladimir Horowitz']",0.266,350373,0.242,0,72iGv3PppJRsZwfT5ntZps,0.915,10,0.154,-19.283,0,"Sonata No. 3, Op. 46: I. Allegro con moto",0,1928,0.0314,86.43700000000004,0.114,1928
0.777,['Seweryn Goszczyński'],0.748,110200,0.295,0,72vD6lhG8KohMxjGqkKzBX,0.0,9,0.122,-16.945,1,Chapter 3.14 - Zamek kaniowski,0,1928,0.94,114.431,0.7170000000000001,1928
0.994,['Francisco Canaro'],0.79,160000,0.171,0,73LY41HCJzlQwoNBmWM7Md,0.0562,5,0.116,-13.993,1,¿Te Acuerdas Mamita? - Instrumental (Remasterizado),0,1928-09-20,0.221,121.646,0.856,1928
0.995,['Ignacio Corsini'],0.579,136160,0.33,0,747Dowy6MecKApVkFH1asI,0.94,1,0.108,-20.558000000000003,1,Quema Esas Cartas - Remasterizado,0,1928-05-14,0.055,134.545,0.89,1928
0.995,"['Robert Schumann', 'Vladimir Horowitz']",0.316,76960,0.191,0,74qEIULd05bBGGtWiCglvC,0.914,10,0.101,-16.249000000000002,0,"Sonata No. 3, Op. 14: III: Variation III",0,1928,0.0389,109.331,0.18,1928
0.991,"['Frédéric Chopin', 'Vladimir Horowitz']",0.245,340973,0.0577,0,74rczPEWk2w3Fl8eENpzuf,0.882,5,0.0704,-24.98,0,"Nocturne F Minor, Op. 55, No. 1",0,1928,0.0328,74.00399999999998,0.105,1928
0.992,"['Francisco Canaro', 'Charlo']",0.78,161000,0.238,0,757cWe7lwe0BjpY1IRigot,0.0355,3,0.108,-13.552,0,Tu Disfraz - Remasterizado,0,1928-09-20,0.209,121.064,0.8440000000000001,1928
0.995,['Hikmet Rıza Hanım'],0.449,159496,0.16899999999999998,0,75AyIcNnQzdiYln6BQJeps,0.8320000000000001,7,0.0999,-12.993,0,Ayva Çiçek Açmış,0,1928-05-11,0.0497,66.372,0.413,1928
0.993,['Francisco Canaro'],0.7659999999999999,184000,0.203,0,75PDI4YUCg84Y0Nt0KAKa1,0.16899999999999998,2,0.147,-10.142,0,Emoción - Instrumental (Remasterizado),0,1928-09-25,0.0728,116.415,0.6920000000000001,1928
0.995,['Ignacio Corsini'],0.599,135507,0.13699999999999998,0,75Tt3zPHlYnejhusIUy50f,0.305,5,0.132,-22.342,0,Cualquier Cosa - Remasterizado,0,1928-05-14,0.161,137.384,0.687,1928
0.994,"['Francisco Canaro', 'Charlo']",0.615,170000,0.205,0,75vvVnUqj8PlyJBAZ494p3,0.913,2,0.113,-13.837,1,Pobre Gaucho - Remasterizado,0,1928-10-03,0.0618,58.299,0.752,1928
0.996,"['Alexander Scriabin', 'Vladimir Horowitz']",0.278,288907,0.0049,0,75yPZGkLb31Q4dRFqzMF5z,0.932,11,0.0954,-31.442,1,"Sonata No. 3, Op. 23 in F-Sharp Minor: III. Andante",0,1928,0.0407,81.033,0.0606,1928
0.996,"['Alexander Scriabin', 'Vladimir Horowitz']",0.393,48627,0.0545,0,75zIt9muIwtL6o30PcqskO,0.8290000000000001,7,0.328,-27.582,1,"Preludes: Op. 11, No. 3 in G",0,1928,0.0366,70.495,0.374,1928
0.105,['Shungi Music Crew'],0.6990000000000001,388115,0.838,0,764wHEOb2yPgsJHmU0J4ZS,0.909,7,0.128,-12.106,1,Trip to Limpopo,0,1928-08-20,0.0462,123.993,0.481,1928
0.981,['Elsie Houston'],0.78,117362,0.55,0,3yH0dcIQudG7VcC0kB4T8V,0.122,4,0.165,-11.095999999999998,0,Óia o Sapo,0,1930-12-31,0.396,83.383,0.847,1930
0.991,['Ignacio Corsini'],0.545,168653,0.133,0,3yZj8i9TwsWAVmBWKdMbaa,0.444,7,0.115,-20.53,0,Cobardia - Remasterizado,0,1930-06-21,0.127,185.062,0.691,1930
0.995,['Francisco Canaro'],0.746,186000,0.159,0,3yqMsVEs3Fq3jzsibskXeY,0.8190000000000001,8,0.109,-15.106,1,Asuero - Instrumental (Remasterizado),0,1930-11-20,0.189,120.084,0.88,1930
0.981,['Αντώνης Νταλγκάς'],0.273,200693,0.0958,0,3ysZe4AZtpys3VbZabN0Nh,0.00109,1,0.637,-20.217,1,Μπεστενγκιάρ μανές,0,1930-01-01,0.0465,86.281,0.18,1930
0.982,['Stellakis Perpiniadis'],0.503,188120,0.46,0,3zFy6I5USXgmG18E3f1971,0.78,9,0.157,-9.289,0,O milonas,0,1930-01-01,0.0454,79.26899999999998,0.909,1930
0.989,['Αντώνης Διαμαντίδης'],0.414,165520,0.229,0,3zGslzrt12d41TKH7xBO5R,0.00067,7,0.121,-10.564,1,Θεοδωράκης Γρίβας,0,1930-01-01,0.0587,74.796,0.325,1930
0.992,"['S. Loukopoulos', 'Klarino G. Anestopoulos', 'Klarino KOstas Giaouzos', 'Klarinos Nikos Karakostas']",0.368,204840,0.263,0,3zK60VaQyLm9Tbrji7v4eX,0.89,9,0.28800000000000003,-16.262999999999998,1,Xipna Pouli Mou To Proi,0,1930-01-01,0.0476,101.447,0.312,1930
0.996,['Paradosiako I. KIriakatis'],0.342,178154,0.308,0,3zYsOagWsmCQ0OwREYFxJ2,0.903,0,0.14,-13.483,1,Kenouria Logia,0,1930-01-01,0.0564,74.733,0.949,1930
0.951,['Moune De Rivel'],0.69,169509,0.7140000000000001,0,3zhptXjoaB6EF8WUtde9iA,0.000348,0,0.234,-15.857,0,Kiembeli,2,1930-01-01,0.0747,116.188,0.804,1930
0.994,['Dimitris Gkogkos'],0.552,194880,0.275,0,402nzcLa8CkqfeD3GzEy6j,0.8290000000000001,11,0.11,-12.746,0,Matia glika kai galana,0,1930-01-01,0.0599,117.057,0.544,1930
0.962,['Giorgos Papasideris'],0.32,185307,0.529,0,404Vsdauw3WGz3FG8Qwv9A,0.392,9,0.117,-7.449,1,Kalikie,0,1930-01-01,0.0474,79.649,0.858,1930
0.994,"['Petros Epitropakis', 'Antonis Kalampousis']",0.14400000000000002,211399,0.331,0,40AkLtfyKR89OxRaf3X9zh,0.88,4,0.145,-13.406,0,San Oneiro,0,1930-01-01,0.0428,71.956,0.16399999999999998,1930
0.29,['Cellular Project'],0.344,192332,0.857,0,40P3zk2IX1Iannfbz89mO2,0.8740000000000001,3,0.125,-5.441,1,Purple Daze,0,1930,0.0507,140.66899999999998,0.158,1930
0.971,"['Francisco Canaro', 'Luis Diaz']",0.807,207493,0.202,0,40c7MoKLp6KVavEdHLBINz,0.161,6,0.0561,-13.675,1,Cascabeles - Remasterizado,0,1930-12-03,0.184,115.364,0.8859999999999999,1930
