year,field_of_study,major,students
1999/00,Agriculture,Agriculture,5850
1999/00,Agriculture,Natural Resources and Conservation,1879
1999/00,Business and Management,Business and Management,102492
1999/00,Communications and Journalism,"Communication, Journalism",9714
1999/00,Communications and Journalism,Communications Technologies/Technicians,1563
1999/00,Education,Education,12885
1999/00,Engineering,Construction Trades,276
1999/00,Engineering,Engineering,69593
1999/00,Engineering,Engineering Technologies/Technicians,5042
1999/00,Engineering,Mechanic and Repair Technologies/Technicians,602
1999/00,Engineering,Military Technologies,85
1999/00,Engineering,Precision Production,101
1999/00,Engineering,Transportation and Materials Moving,1135
1999/00,Fine and Applied Arts,Architecture,6189
1999/00,Fine and Applied Arts,Visual and Performing Arts,26290
1999/00,Health Professions,Health Professions,21625
1999/00,Health Professions,Residency Programs,
1999/00,Humanities,English Language and Literature/Letters,5566
1999/00,Humanities,"Foreign Languages, Literatures and Linguistics",5261
1999/00,Humanities,Philosophy and Religious Studies,1809
1999/00,Humanities,Theology and Religious Vocations,4050
1999/00,Intensive English,Intensive English,21015
1999/00,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",619
1999/00,Legal Studies and Law Enforcement,Legal Professions and Studies,5763
1999/00,Math and Computer Science,Computer and Information Sciences,49487
1999/00,Math and Computer Science,Mathematics and Statistics,7779
1999/00,Other Fields of Study,Basic Skills,
1999/00,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2577
1999/00,Other Fields of Study,Liberal Arts and Sciences/General Studies,28313
1999/00,Other Fields of Study,Library Science,655
1999/00,Other Fields of Study,Multi/Interdisciplinary Studies,4525
1999/00,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2414
1999/00,Other Fields of Study,Personal and Culinary Services,723
1999/00,Other Fields of Study,Reserve Officer Training Corps,
1999/00,Physical and Life Sciences,Biological and Biomedical Sciences,18910
1999/00,Physical and Life Sciences,Physical Sciences,17560
1999/00,Physical and Life Sciences,Science Technologies/Technicians,950
1999/00,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2779
1999/00,Social Sciences,History,
1999/00,Social Sciences,Psychology,6998
1999/00,Social Sciences,Public Administration and Social Service Professions,4448
1999/00,Social Sciences,Social Sciences,24404
1999/00,Undeclared,Undeclared,32799
2000/01,Agriculture,Agriculture,5373
2000/01,Agriculture,Natural Resources and Conservation,1827
2000/01,Business and Management,Business and Management,105214
2000/01,Communications and Journalism,"Communication, Journalism",9958
2000/01,Communications and Journalism,Communications Technologies/Technicians,2261
2000/01,Education,Education,14053
2000/01,Engineering,Construction Trades,371
2000/01,Engineering,Engineering,75815
2000/01,Engineering,Engineering Technologies/Technicians,5630
2000/01,Engineering,Mechanic and Repair Technologies/Technicians,497
2000/01,Engineering,Military Technologies,210
2000/01,Engineering,Precision Production,199
2000/01,Engineering,Transportation and Materials Moving,674
2000/01,Fine and Applied Arts,Architecture,6602
2000/01,Fine and Applied Arts,Visual and Performing Arts,27618
2000/01,Health Professions,Health Professions,22430
2000/01,Health Professions,Residency Programs,
2000/01,Humanities,English Language and Literature/Letters,5735
2000/01,Humanities,"Foreign Languages, Literatures and Linguistics",4889
2000/01,Humanities,Philosophy and Religious Studies,1785
2000/01,Humanities,Theology and Religious Vocations,3714
2000/01,Intensive English,Intensive English,23011
2000/01,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",697
2000/01,Legal Studies and Law Enforcement,Legal Professions and Studies,5759
2000/01,Math and Computer Science,Computer and Information Sciences,59836
2000/01,Math and Computer Science,Mathematics and Statistics,7989
2000/01,Other Fields of Study,Basic Skills,
2000/01,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2886
2000/01,Other Fields of Study,Liberal Arts and Sciences/General Studies,28957
2000/01,Other Fields of Study,Library Science,816
2000/01,Other Fields of Study,Multi/Interdisciplinary Studies,6388
2000/01,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2730
2000/01,Other Fields of Study,Personal and Culinary Services,829
2000/01,Other Fields of Study,Reserve Officer Training Corps,
2000/01,Physical and Life Sciences,Biological and Biomedical Sciences,20119
2000/01,Physical and Life Sciences,Physical Sciences,16975
2000/01,Physical and Life Sciences,Science Technologies/Technicians,1302
2000/01,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2402
2000/01,Social Sciences,History,
2000/01,Social Sciences,Psychology,7855
2000/01,Social Sciences,Public Administration and Social Service Professions,4626
2000/01,Social Sciences,Social Sciences,24057
2000/01,Undeclared,Undeclared,35779
2001/02,Agriculture,Agriculture,5916
2001/02,Agriculture,Natural Resources and Conservation,2034
2001/02,Business and Management,Business and Management,113495
2001/02,Communications and Journalism,"Communication, Journalism",10560
2001/02,Communications and Journalism,Communications Technologies/Technicians,2035
2001/02,Education,Education,15709
2001/02,Engineering,Construction Trades,437
2001/02,Engineering,Engineering,79833
2001/02,Engineering,Engineering Technologies/Technicians,5655
2001/02,Engineering,Mechanic and Repair Technologies/Technicians,660
2001/02,Engineering,Military Technologies,77
2001/02,Engineering,Precision Production,168
2001/02,Engineering,Transportation and Materials Moving,1428
2001/02,Fine and Applied Arts,Architecture,6694
2001/02,Fine and Applied Arts,Visual and Performing Arts,27284
2001/02,Health Professions,Health Professions,24037
2001/02,Health Professions,Residency Programs,
2001/02,Humanities,English Language and Literature/Letters,5795
2001/02,Humanities,"Foreign Languages, Literatures and Linguistics",6097
2001/02,Humanities,Philosophy and Religious Studies,2630
2001/02,Humanities,Theology and Religious Vocations,3845
2001/02,Intensive English,Intensive English,21237
2001/02,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",749
2001/02,Legal Studies and Law Enforcement,Legal Professions and Studies,6552
2001/02,Math and Computer Science,Computer and Information Sciences,67850
2001/02,Math and Computer Science,Mathematics and Statistics,8886
2001/02,Other Fields of Study,Basic Skills,
2001/02,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2968
2001/02,Other Fields of Study,Liberal Arts and Sciences/General Studies,29950
2001/02,Other Fields of Study,Library Science,803
2001/02,Other Fields of Study,Multi/Interdisciplinary Studies,6840
2001/02,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2677
2001/02,Other Fields of Study,Personal and Culinary Services,1390
2001/02,Other Fields of Study,Reserve Officer Training Corps,
2001/02,Physical and Life Sciences,Biological and Biomedical Sciences,20672
2001/02,Physical and Life Sciences,Physical Sciences,19433
2001/02,Physical and Life Sciences,Science Technologies/Technicians,1312
2001/02,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2420
2001/02,Social Sciences,History,
2001/02,Social Sciences,Psychology,7729
2001/02,Social Sciences,Public Administration and Social Service Professions,4884
2001/02,Social Sciences,Social Sciences,26208
2001/02,Undeclared,Undeclared,36048
2002/03,Agriculture,Agriculture,4790
2002/03,Agriculture,Natural Resources and Conservation,1973
2002/03,Business and Management,Business and Management,113990
2002/03,Communications and Journalism,"Communication, Journalism",10249
2002/03,Communications and Journalism,Communications Technologies/Technicians,2477
2002/03,Education,Education,16004
2002/03,Engineering,Construction Trades,306
2002/03,Engineering,Engineering,88809
2002/03,Engineering,Engineering Technologies/Technicians,5781
2002/03,Engineering,Mechanic and Repair Technologies/Technicians,426
2002/03,Engineering,Military Technologies,29
2002/03,Engineering,Precision Production,140
2002/03,Engineering,Transportation and Materials Moving,1083
2002/03,Fine and Applied Arts,Architecture,6712
2002/03,Fine and Applied Arts,Visual and Performing Arts,24306
2002/03,Health Professions,Health Professions,28120
2002/03,Health Professions,Residency Programs,
2002/03,Humanities,English Language and Literature/Letters,5912
2002/03,Humanities,"Foreign Languages, Literatures and Linguistics",6845
2002/03,Humanities,Philosophy and Religious Studies,1990
2002/03,Humanities,Theology and Religious Vocations,4406
2002/03,Intensive English,Intensive English,17620
2002/03,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",723
2002/03,Legal Studies and Law Enforcement,Legal Professions and Studies,6411
2002/03,Math and Computer Science,Computer and Information Sciences,61857
2002/03,Math and Computer Science,Mathematics and Statistics,10069
2002/03,Other Fields of Study,Basic Skills,
2002/03,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3376
2002/03,Other Fields of Study,Liberal Arts and Sciences/General Studies,29972
2002/03,Other Fields of Study,Library Science,901
2002/03,Other Fields of Study,Multi/Interdisciplinary Studies,5058
2002/03,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2840
2002/03,Other Fields of Study,Personal and Culinary Services,787
2002/03,Other Fields of Study,Reserve Officer Training Corps,
2002/03,Physical and Life Sciences,Biological and Biomedical Sciences,22960
2002/03,Physical and Life Sciences,Physical Sciences,19484
2002/03,Physical and Life Sciences,Science Technologies/Technicians,1105
2002/03,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2304
2002/03,Social Sciences,History,
2002/03,Social Sciences,Psychology,8522
2002/03,Social Sciences,Public Administration and Social Service Professions,4814
2002/03,Social Sciences,Social Sciences,26775
2002/03,Undeclared,Undeclared,36395
2003/04,Agriculture,Agriculture,5406
2003/04,Agriculture,Natural Resources and Conservation,1886
2003/04,Business and Management,Business and Management,107909
2003/04,Communications and Journalism,"Communication, Journalism",9104
2003/04,Communications and Journalism,Communications Technologies/Technicians,2335
2003/04,Education,Education,15909
2003/04,Engineering,Construction Trades,184
2003/04,Engineering,Engineering,87528
2003/04,Engineering,Engineering Technologies/Technicians,5920
2003/04,Engineering,Mechanic and Repair Technologies/Technicians,486
2003/04,Engineering,Military Technologies,5
2003/04,Engineering,Precision Production,90
2003/04,Engineering,Transportation and Materials Moving,1012
2003/04,Fine and Applied Arts,Architecture,6678
2003/04,Fine and Applied Arts,Visual and Performing Arts,25204
2003/04,Health Professions,Health Professions,25749
2003/04,Health Professions,Residency Programs,
2003/04,Humanities,English Language and Literature/Letters,4841
2003/04,Humanities,"Foreign Languages, Literatures and Linguistics",5366
2003/04,Humanities,Philosophy and Religious Studies,2243
2003/04,Humanities,Theology and Religious Vocations,4172
2003/04,Intensive English,Intensive English,15006
2003/04,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",817
2003/04,Legal Studies and Law Enforcement,Legal Professions and Studies,6222
2003/04,Math and Computer Science,Computer and Information Sciences,57739
2003/04,Math and Computer Science,Mathematics and Statistics,9954
2003/04,Other Fields of Study,Basic Skills,
2003/04,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2801
2003/04,Other Fields of Study,Liberal Arts and Sciences/General Studies,32007
2003/04,Other Fields of Study,Library Science,742
2003/04,Other Fields of Study,Multi/Interdisciplinary Studies,7057
2003/04,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2872
2003/04,Other Fields of Study,Personal and Culinary Services,879
2003/04,Other Fields of Study,Reserve Officer Training Corps,
2003/04,Physical and Life Sciences,Biological and Biomedical Sciences,23290
2003/04,Physical and Life Sciences,Physical Sciences,19603
2003/04,Physical and Life Sciences,Science Technologies/Technicians,1714
2003/04,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2639
2003/04,Social Sciences,History,
2003/04,Social Sciences,Psychology,8352
2003/04,Social Sciences,Public Administration and Social Service Professions,5372
2003/04,Social Sciences,Social Sciences,34101
2003/04,Undeclared,Undeclared,29313
2004/05,Agriculture,Agriculture,5528
2004/05,Agriculture,Natural Resources and Conservation,1991
2004/05,Business and Management,Business and Management,98975
2004/05,Communications and Journalism,"Communication, Journalism",9107
2004/05,Communications and Journalism,Communications Technologies/Technicians,1848
2004/05,Education,Education,15697
2004/05,Engineering,Construction Trades,242
2004/05,Engineering,Engineering,87999
2004/05,Engineering,Engineering Technologies/Technicians,3427
2004/05,Engineering,Mechanic and Repair Technologies/Technicians,277
2004/05,Engineering,Military Technologies,18
2004/05,Engineering,Precision Production,30
2004/05,Engineering,Transportation and Materials Moving,977
2004/05,Fine and Applied Arts,Architecture,6271
2004/05,Fine and Applied Arts,Visual and Performing Arts,21792
2004/05,Health Professions,Health Professions,26301
2004/05,Health Professions,Residency Programs,154
2004/05,Humanities,English Language and Literature/Letters,4590
2004/05,Humanities,"Foreign Languages, Literatures and Linguistics",5839
2004/05,Humanities,Philosophy and Religious Studies,1544
2004/05,Humanities,Theology and Religious Vocations,3877
2004/05,Intensive English,Intensive English,16133
2004/05,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",882
2004/05,Legal Studies and Law Enforcement,Legal Professions and Studies,6270
2004/05,Math and Computer Science,Computer and Information Sciences,38966
2004/05,Math and Computer Science,Mathematics and Statistics,11781
2004/05,Other Fields of Study,Basic Skills,
2004/05,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3142
2004/05,Other Fields of Study,Liberal Arts and Sciences/General Studies,32912
2004/05,Other Fields of Study,Library Science,638
2004/05,Other Fields of Study,Multi/Interdisciplinary Studies,5611
2004/05,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2940
2004/05,Other Fields of Study,Personal and Culinary Services,1104
2004/05,Other Fields of Study,Reserve Officer Training Corps,
2004/05,Physical and Life Sciences,Biological and Biomedical Sciences,25987
2004/05,Physical and Life Sciences,Physical Sciences,22498
2004/05,Physical and Life Sciences,Science Technologies/Technicians,1014
2004/05,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2570
2004/05,Social Sciences,History,1774
2004/05,Social Sciences,Psychology,7788
2004/05,Social Sciences,Public Administration and Social Service Professions,5056
2004/05,Social Sciences,Social Sciences,25075
2004/05,Undeclared,Undeclared,27982
2005/06,Agriculture,Agriculture,5475
2005/06,Agriculture,Natural Resources and Conservation,2408
2005/06,Business and Management,Business and Management,99382
2005/06,Communications and Journalism,"Communication, Journalism",9573
2005/06,Communications and Journalism,Communications Technologies/Technicians,2517
2005/06,Education,Education,16546
2005/06,Engineering,Construction Trades,290
2005/06,Engineering,Engineering,82884
2005/06,Engineering,Engineering Technologies/Technicians,4161
2005/06,Engineering,Mechanic and Repair Technologies/Technicians,292
2005/06,Engineering,Military Technologies,203
2005/06,Engineering,Precision Production,20
2005/06,Engineering,Transportation and Materials Moving,813
2005/06,Fine and Applied Arts,Architecture,6036
2005/06,Fine and Applied Arts,Visual and Performing Arts,23472
2005/06,Health Professions,Health Professions,27124
2005/06,Health Professions,Residency Programs,580
2005/06,Humanities,English Language and Literature/Letters,4908
2005/06,Humanities,"Foreign Languages, Literatures and Linguistics",6005
2005/06,Humanities,Philosophy and Religious Studies,1613
2005/06,Humanities,Theology and Religious Vocations,3954
2005/06,Intensive English,Intensive English,17239
2005/06,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",871
2005/06,Legal Studies and Law Enforcement,Legal Professions and Studies,6114
2005/06,Math and Computer Science,Computer and Information Sciences,34318
2005/06,Math and Computer Science,Mathematics and Statistics,11200
2005/06,Other Fields of Study,Basic Skills,
2005/06,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3264
2005/06,Other Fields of Study,Liberal Arts and Sciences/General Studies,29865
2005/06,Other Fields of Study,Library Science,729
2005/06,Other Fields of Study,Multi/Interdisciplinary Studies,6557
2005/06,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3025
2005/06,Other Fields of Study,Personal and Culinary Services,1498
2005/06,Other Fields of Study,Reserve Officer Training Corps,
2005/06,Physical and Life Sciences,Biological and Biomedical Sciences,27233
2005/06,Physical and Life Sciences,Physical Sciences,21655
2005/06,Physical and Life Sciences,Science Technologies/Technicians,1281
2005/06,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2373
2005/06,Social Sciences,History,1868
2005/06,Social Sciences,Psychology,8021
2005/06,Social Sciences,Public Administration and Social Service Professions,4934
2005/06,Social Sciences,Social Sciences,25039
2005/06,Undeclared,Undeclared,17888
2006/07,Agriculture,Agriculture,5114
2006/07,Agriculture,Natural Resources and Conservation,2347
2006/07,Business and Management,Business and Management,102506
2006/07,Communications and Journalism,"Communication, Journalism",9127
2006/07,Communications and Journalism,Communications Technologies/Technicians,2367
2006/07,Education,Education,16825
2006/07,Engineering,Construction Trades,160
2006/07,Engineering,Engineering,84126
2006/07,Engineering,Engineering Technologies/Technicians,3864
2006/07,Engineering,Mechanic and Repair Technologies/Technicians,348
2006/07,Engineering,Military Technologies,42
2006/07,Engineering,Precision Production,22
2006/07,Engineering,Transportation and Materials Moving,617
2006/07,Fine and Applied Arts,Architecture,5742
2006/07,Fine and Applied Arts,Visual and Performing Arts,23846
2006/07,Health Professions,Health Professions,28294
2006/07,Health Professions,Residency Programs,429
2006/07,Humanities,English Language and Literature/Letters,4751
2006/07,Humanities,"Foreign Languages, Literatures and Linguistics",6053
2006/07,Humanities,Philosophy and Religious Studies,2443
2006/07,Humanities,Theology and Religious Vocations,2942
2006/07,Intensive English,Intensive English,22417
2006/07,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",892
2006/07,Legal Studies and Law Enforcement,Legal Professions and Studies,6368
2006/07,Math and Computer Science,Computer and Information Sciences,33437
2006/07,Math and Computer Science,Mathematics and Statistics,12582
2006/07,Other Fields of Study,Basic Skills,
2006/07,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2720
2006/07,Other Fields of Study,Liberal Arts and Sciences/General Studies,30371
2006/07,Other Fields of Study,Library Science,724
2006/07,Other Fields of Study,Multi/Interdisciplinary Studies,6996
2006/07,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3103
2006/07,Other Fields of Study,Personal and Culinary Services,1135
2006/07,Other Fields of Study,Reserve Officer Training Corps,
2006/07,Physical and Life Sciences,Biological and Biomedical Sciences,28315
2006/07,Physical and Life Sciences,Physical Sciences,22497
2006/07,Physical and Life Sciences,Science Technologies/Technicians,1051
2006/07,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2353
2006/07,Social Sciences,History,1878
2006/07,Social Sciences,Psychology,8307
2006/07,Social Sciences,Public Administration and Social Service Professions,5389
2006/07,Social Sciences,Social Sciences,27056
2006/07,Undeclared,Undeclared,19545
2007/08,Agriculture,Agriculture,6721
2007/08,Agriculture,Natural Resources and Conservation,2224
2007/08,Business and Management,Business and Management,110041
2007/08,Communications and Journalism,"Communication, Journalism",9222
2007/08,Communications and Journalism,Communications Technologies/Technicians,2913
2007/08,Education,Education,17775
2007/08,Engineering,Construction Trades,493
2007/08,Engineering,Engineering,89821
2007/08,Engineering,Engineering Technologies/Technicians,4586
2007/08,Engineering,Mechanic and Repair Technologies/Technicians,470
2007/08,Engineering,Military Technologies,56
2007/08,Engineering,Precision Production,39
2007/08,Engineering,Transportation and Materials Moving,724
2007/08,Fine and Applied Arts,Architecture,5940
2007/08,Fine and Applied Arts,Visual and Performing Arts,25787
2007/08,Health Professions,Health Professions,29163
2007/08,Health Professions,Residency Programs,422
2007/08,Humanities,English Language and Literature/Letters,4938
2007/08,Humanities,"Foreign Languages, Literatures and Linguistics",6252
2007/08,Humanities,Philosophy and Religious Studies,1996
2007/08,Humanities,Theology and Religious Vocations,4274
2007/08,Intensive English,Intensive English,25856
2007/08,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",865
2007/08,Legal Studies and Law Enforcement,Legal Professions and Studies,6598
2007/08,Math and Computer Science,Computer and Information Sciences,34819
2007/08,Math and Computer Science,Mathematics and Statistics,11494
2007/08,Other Fields of Study,Basic Skills,
2007/08,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3276
2007/08,Other Fields of Study,Liberal Arts and Sciences/General Studies,29248
2007/08,Other Fields of Study,Library Science,809
2007/08,Other Fields of Study,Multi/Interdisciplinary Studies,8760
2007/08,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2975
2007/08,Other Fields of Study,Personal and Culinary Services,865
2007/08,Other Fields of Study,Reserve Officer Training Corps,
2007/08,Physical and Life Sciences,Biological and Biomedical Sciences,29159
2007/08,Physical and Life Sciences,Physical Sciences,22942
2007/08,Physical and Life Sciences,Science Technologies/Technicians,766
2007/08,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2204
2007/08,Social Sciences,History,2112
2007/08,Social Sciences,Psychology,7981
2007/08,Social Sciences,Public Administration and Social Service Professions,5446
2007/08,Social Sciences,Social Sciences,27792
2007/08,Undeclared,Undeclared,19215
2008/09,Agriculture,Agriculture,6294
2008/09,Agriculture,Natural Resources and Conservation,2667
2008/09,Business and Management,Business and Management,137495
2008/09,Communications and Journalism,"Communication, Journalism",10885
2008/09,Communications and Journalism,Communications Technologies/Technicians,2081
2008/09,Education,Education,18120
2008/09,Engineering,Construction Trades,602
2008/09,Engineering,Engineering,111532
2008/09,Engineering,Engineering Technologies/Technicians,5228
2008/09,Engineering,Mechanic and Repair Technologies/Technicians,515
2008/09,Engineering,Military Technologies,358
2008/09,Engineering,Precision Production,56
2008/09,Engineering,Transportation and Materials Moving,1047
2008/09,Fine and Applied Arts,Architecture,7202
2008/09,Fine and Applied Arts,Visual and Performing Arts,27652
2008/09,Health Professions,Health Professions,35064
2008/09,Health Professions,Residency Programs,382
2008/09,Humanities,English Language and Literature/Letters,5745
2008/09,Humanities,"Foreign Languages, Literatures and Linguistics",6726
2008/09,Humanities,Philosophy and Religious Studies,3008
2008/09,Humanities,Theology and Religious Vocations,3700
2008/09,Intensive English,Intensive English,28524
2008/09,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1089
2008/09,Legal Studies and Law Enforcement,Legal Professions and Studies,8700
2008/09,Math and Computer Science,Computer and Information Sciences,43050
2008/09,Math and Computer Science,Mathematics and Statistics,13317
2008/09,Other Fields of Study,Basic Skills,
2008/09,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2763
2008/09,Other Fields of Study,Liberal Arts and Sciences/General Studies,37681
2008/09,Other Fields of Study,Library Science,466
2008/09,Other Fields of Study,Multi/Interdisciplinary Studies,9695
2008/09,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3628
2008/09,Other Fields of Study,Personal and Culinary Services,1070
2008/09,Other Fields of Study,Reserve Officer Training Corps,
2008/09,Physical and Life Sciences,Biological and Biomedical Sciences,34144
2008/09,Physical and Life Sciences,Physical Sciences,26302
2008/09,Physical and Life Sciences,Science Technologies/Technicians,1253
2008/09,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2321
2008/09,Social Sciences,History,2546
2008/09,Social Sciences,Psychology,9269
2008/09,Social Sciences,Public Administration and Social Service Professions,6253
2008/09,Social Sciences,Social Sciences,32242
2008/09,Undeclared,Undeclared,20944
2009/10,Agriculture,Agriculture,6942
2009/10,Agriculture,Natural Resources and Conservation,3346
2009/10,Business and Management,Business and Management,144294
2009/10,Communications and Journalism,"Communication, Journalism",11695
2009/10,Communications and Journalism,Communications Technologies/Technicians,2717
2009/10,Education,Education,18301
2009/10,Engineering,Construction Trades,179
2009/10,Engineering,Engineering,117325
2009/10,Engineering,Engineering Technologies/Technicians,8026
2009/10,Engineering,Mechanic and Repair Technologies/Technicians,463
2009/10,Engineering,Military Technologies,1
2009/10,Engineering,Precision Production,38
2009/10,Engineering,Transportation and Materials Moving,1412
2009/10,Fine and Applied Arts,Architecture,7944
2009/10,Fine and Applied Arts,Visual and Performing Arts,27863
2009/10,Health Professions,Health Professions,32105
2009/10,Health Professions,Residency Programs,394
2009/10,Humanities,English Language and Literature/Letters,5952
2009/10,Humanities,"Foreign Languages, Literatures and Linguistics",6754
2009/10,Humanities,Philosophy and Religious Studies,2225
2009/10,Humanities,Theology and Religious Vocations,3062
2009/10,Intensive English,Intensive English,26059
2009/10,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1074
2009/10,Legal Studies and Law Enforcement,Legal Professions and Studies,8965
2009/10,Math and Computer Science,Computer and Information Sciences,45511
2009/10,Math and Computer Science,Mathematics and Statistics,15289
2009/10,Other Fields of Study,Basic Skills,
2009/10,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3570
2009/10,Other Fields of Study,Liberal Arts and Sciences/General Studies,38520
2009/10,Other Fields of Study,Library Science,553
2009/10,Other Fields of Study,Multi/Interdisciplinary Studies,10317
2009/10,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4051
2009/10,Other Fields of Study,Personal and Culinary Services,1107
2009/10,Other Fields of Study,Reserve Officer Training Corps,
2009/10,Physical and Life Sciences,Biological and Biomedical Sciences,33929
2009/10,Physical and Life Sciences,Physical Sciences,26547
2009/10,Physical and Life Sciences,Science Technologies/Technicians,835
2009/10,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2131
2009/10,Social Sciences,History,2424
2009/10,Social Sciences,Psychology,8992
2009/10,Social Sciences,Public Administration and Social Service Professions,6934
2009/10,Social Sciences,Social Sciences,34372
2009/10,Undeclared,Undeclared,18705
2010/11,Agriculture,Agriculture,6801
2010/11,Agriculture,Natural Resources and Conservation,3087
2010/11,Business and Management,Business and Management,154452
2010/11,Communications and Journalism,"Communication, Journalism",12225
2010/11,Communications and Journalism,Communications Technologies/Technicians,2537
2010/11,Education,Education,16933
2010/11,Engineering,Construction Trades,319
2010/11,Engineering,Engineering,126180
2010/11,Engineering,Engineering Technologies/Technicians,6640
2010/11,Engineering,Mechanic and Repair Technologies/Technicians,506
2010/11,Engineering,Military Technologies,24
2010/11,Engineering,Precision Production,43
2010/11,Engineering,Transportation and Materials Moving,1904
2010/11,Fine and Applied Arts,Architecture,8819
2010/11,Fine and Applied Arts,Visual and Performing Arts,28418
2010/11,Health Professions,Health Professions,32526
2010/11,Health Professions,Residency Programs,295
2010/11,Humanities,English Language and Literature/Letters,4969
