year,origin_region,origin,academic_type,students
2000/01,Europe,Malta,Undergraduate,29
2000/01,Europe,Moldova,Graduate,72
2000/01,Europe,Moldova,Other,5
2000/01,Europe,Moldova,Undergraduate,106
2000/01,Europe,Monaco,Graduate,7
2000/01,Europe,Monaco,Other,0
2000/01,Europe,Monaco,Undergraduate,11
2000/01,Europe,Netherlands,Graduate,621
2000/01,Europe,Netherlands,Other,200
2000/01,Europe,Netherlands,Undergraduate,1035
2000/01,Europe,North Macedonia,Graduate,58
2000/01,Europe,North Macedonia,Other,19
2000/01,Europe,North Macedonia,Undergraduate,203
2000/01,Europe,Norway,Graduate,538
2000/01,Europe,Norway,Other,125
2000/01,Europe,Norway,Undergraduate,1435
2000/01,Europe,Poland,Graduate,676
2000/01,Europe,Poland,Other,162
2000/01,Europe,Poland,Undergraduate,1594
2000/01,Europe,Portugal,Graduate,451
2000/01,Europe,Portugal,Other,76
2000/01,Europe,Portugal,Undergraduate,357
2000/01,Europe,Romania,Graduate,1994
2000/01,Europe,Romania,Other,124
2000/01,Europe,Romania,Undergraduate,858
2000/01,Europe,Russia,Graduate,3376
2000/01,Europe,Russia,Other,423
2000/01,Europe,Russia,Undergraduate,3060
2000/01,Europe,San Marino,Graduate,2
2000/01,Europe,San Marino,Other,0
2000/01,Europe,San Marino,Undergraduate,1
2000/01,Europe,Serbia and Montenegro,Graduate,0
2000/01,Europe,Serbia and Montenegro,Other,0
2000/01,Europe,Serbia and Montenegro,Undergraduate,0
2000/01,Europe,Slovakia,Graduate,186
2000/01,Europe,Slovakia,Other,23
2000/01,Europe,Slovakia,Undergraduate,330
2000/01,Europe,Slovenia,Graduate,87
2000/01,Europe,Slovenia,Other,12
2000/01,Europe,Slovenia,Undergraduate,108
2000/01,Europe,Spain,Graduate,1844
2000/01,Europe,Spain,Other,600
2000/01,Europe,Spain,Undergraduate,1712
2000/01,Europe,Sweden,Graduate,748
2000/01,Europe,Sweden,Other,324
2000/01,Europe,Sweden,Undergraduate,3526
2000/01,Europe,Switzerland,Graduate,636
2000/01,Europe,Switzerland,Other,264
2000/01,Europe,Switzerland,Undergraduate,950
2000/01,Europe,Turkey,Graduate,6207
2000/01,Europe,Turkey,Other,1018
2000/01,Europe,Turkey,Undergraduate,3757
2000/01,Europe,"U.S.S.R., Former",Graduate,44
2000/01,Europe,"U.S.S.R., Former",Other,4
2000/01,Europe,"U.S.S.R., Former",Undergraduate,57
2000/01,Europe,Ukraine,Graduate,888
2000/01,Europe,Ukraine,Other,114
2000/01,Europe,Ukraine,Undergraduate,908
2000/01,Europe,United Kingdom,Graduate,2644
2000/01,Europe,United Kingdom,Other,699
2000/01,Europe,United Kingdom,Undergraduate,4795
2000/01,Europe,"Yugoslavia, Former",Graduate,705
2000/01,Europe,"Yugoslavia, Former",Other,70
2000/01,Europe,"Yugoslavia, Former",Undergraduate,1015
2000/01,Latin America and Caribbean,"Latin America and Caribbean, Unspecified",Graduate,0
2000/01,Latin America and Caribbean,"Latin America and Caribbean, Unspecified",Other,0
2000/01,Latin America and Caribbean,"Latin America and Caribbean, Unspecified",Undergraduate,0
2000/01,Mexico and Central America,Belize,Graduate,128
2000/01,Mexico and Central America,Belize,Other,23
2000/01,Mexico and Central America,Belize,Undergraduate,338
2000/01,Mexico and Central America,Costa Rica,Graduate,354
2000/01,Mexico and Central America,Costa Rica,Other,78
2000/01,Mexico and Central America,Costa Rica,Undergraduate,497
2000/01,Mexico and Central America,El Salvador,Graduate,143
2000/01,Mexico and Central America,El Salvador,Other,32
2000/01,Mexico and Central America,El Salvador,Undergraduate,650
2000/01,Mexico and Central America,Guatemala,Graduate,224
2000/01,Mexico and Central America,Guatemala,Other,43
2000/01,Mexico and Central America,Guatemala,Undergraduate,783
2000/01,Mexico and Central America,Honduras,Graduate,150
2000/01,Mexico and Central America,Honduras,Other,38
2000/01,Mexico and Central America,Honduras,Undergraduate,786
2000/01,Mexico and Central America,Mexico,Graduate,3853
2000/01,Mexico and Central America,Mexico,Other,742
2000/01,Mexico and Central America,Mexico,Undergraduate,6075
2000/01,Mexico and Central America,"Mexico and Central America, Unspecified",Graduate,0
2000/01,Mexico and Central America,"Mexico and Central America, Unspecified",Other,0
2000/01,Mexico and Central America,"Mexico and Central America, Unspecified",Undergraduate,0
2000/01,Mexico and Central America,Nicaragua,Graduate,112
2000/01,Mexico and Central America,Nicaragua,Other,27
2000/01,Mexico and Central America,Nicaragua,Undergraduate,472
2000/01,Mexico and Central America,Panama,Graduate,299
2000/01,Mexico and Central America,Panama,Other,61
2000/01,Mexico and Central America,Panama,Undergraduate,857
2000/01,Middle East,Bahrain,Graduate,86
2000/01,Middle East,Bahrain,Other,39
2000/01,Middle East,Bahrain,Undergraduate,437
2000/01,Middle East,Iran,Graduate,1023
2000/01,Middle East,Iran,Other,110
2000/01,Middle East,Iran,Undergraduate,711
2000/01,Middle East,Iraq,Graduate,50
2000/01,Middle East,Iraq,Other,6
2000/01,Middle East,Iraq,Undergraduate,99
2000/01,Middle East,Israel,Graduate,1492
2000/01,Middle East,Israel,Other,185
2000/01,Middle East,Israel,Undergraduate,1724
2000/01,Middle East,Jordan,Graduate,1021
2000/01,Middle East,Jordan,Other,111
2000/01,Middle East,Jordan,Undergraduate,1055
2000/01,Middle East,Kuwait,Graduate,497
2000/01,Middle East,Kuwait,Other,224
2000/01,Middle East,Kuwait,Undergraduate,2324
2000/01,Middle East,Lebanon,Graduate,775
2000/01,Middle East,Lebanon,Other,146
2000/01,Middle East,Lebanon,Undergraduate,1084
2000/01,Middle East,"Middle East, Unspecified",Graduate,0
2000/01,Middle East,"Middle East, Unspecified",Other,0
2000/01,Middle East,"Middle East, Unspecified",Undergraduate,0
2000/01,Middle East,Oman,Graduate,174
2000/01,Middle East,Oman,Other,61
2000/01,Middle East,Oman,Undergraduate,466
2000/01,Middle East,Palestinian Territories,Graduate,92
2000/01,Middle East,Palestinian Territories,Other,21
2000/01,Middle East,Palestinian Territories,Undergraduate,124
2000/01,Middle East,Qatar,Graduate,82
2000/01,Middle East,Qatar,Other,77
2000/01,Middle East,Qatar,Undergraduate,303
2000/01,Middle East,Saudi Arabia,Graduate,1694
2000/01,Middle East,Saudi Arabia,Other,746
2000/01,Middle East,Saudi Arabia,Undergraduate,2833
2000/01,Middle East,Syria,Graduate,266
2000/01,Middle East,Syria,Other,83
2000/01,Middle East,Syria,Undergraduate,364
2000/01,Middle East,United Arab Emirates,Graduate,264
2000/01,Middle East,United Arab Emirates,Other,317
2000/01,Middle East,United Arab Emirates,Undergraduate,2079
2000/01,Middle East,Yemen,Graduate,105
2000/01,Middle East,Yemen,Other,42
2000/01,Middle East,Yemen,Undergraduate,264
2000/01,North Africa,Algeria,Graduate,101
2000/01,North Africa,Algeria,Other,16
2000/01,North Africa,Algeria,Undergraduate,103
2000/01,North Africa,Egypt,Graduate,1439
2000/01,North Africa,Egypt,Other,140
2000/01,North Africa,Egypt,Undergraduate,676
2000/01,North Africa,Libya,Graduate,11
2000/01,North Africa,Libya,Other,0
2000/01,North Africa,Libya,Undergraduate,28
2000/01,North Africa,Morocco,Graduate,550
2000/01,North Africa,Morocco,Other,174
2000/01,North Africa,Morocco,Undergraduate,1192
2000/01,North Africa,"North Africa, Unspecified",Graduate,0
2000/01,North Africa,"North Africa, Unspecified",Other,0
2000/01,North Africa,"North Africa, Unspecified",Undergraduate,0
2000/01,North Africa,Tunisia,Graduate,150
2000/01,North Africa,Tunisia,Other,49
2000/01,North Africa,Tunisia,Undergraduate,186
2000/01,North Africa,Western Sahara,Graduate,1
2000/01,North Africa,Western Sahara,Other,0
2000/01,North Africa,Western Sahara,Undergraduate,1
2000/01,North America,Canada,Graduate,10694
2000/01,North America,Canada,Other,1105
2000/01,North America,Canada,Undergraduate,13480
2000/01,Oceania,Australia,Graduate,1006
2000/01,Oceania,Australia,Other,183
2000/01,Oceania,Australia,Undergraduate,1455
2000/01,Oceania,Cook Islands,Graduate,1
2000/01,Oceania,Cook Islands,Other,0
2000/01,Oceania,Cook Islands,Undergraduate,2
2000/01,Oceania,Fiji,Graduate,20
2000/01,Oceania,Fiji,Other,7
2000/01,Oceania,Fiji,Undergraduate,222
2000/01,Oceania,French Polynesia,Graduate,4
2000/01,Oceania,French Polynesia,Other,0
2000/01,Oceania,French Polynesia,Undergraduate,67
2000/01,Oceania,Kiribati,Graduate,12
2000/01,Oceania,Kiribati,Other,0
2000/01,Oceania,Kiribati,Undergraduate,30
2000/01,Oceania,"Marshall Islands, Republic of the",Graduate,2
2000/01,Oceania,"Marshall Islands, Republic of the",Other,1
2000/01,Oceania,"Marshall Islands, Republic of the",Undergraduate,33
2000/01,Oceania,"Micronesia, Federate States of ",Graduate,14
2000/01,Oceania,"Micronesia, Federate States of ",Other,0
2000/01,Oceania,"Micronesia, Federate States of ",Undergraduate,173
2000/01,Oceania,Nauru,Graduate,0
2000/01,Oceania,Nauru,Other,1
2000/01,Oceania,Nauru,Undergraduate,2
2000/01,Oceania,New Caledonia,Graduate,2
2000/01,Oceania,New Caledonia,Other,0
2000/01,Oceania,New Caledonia,Undergraduate,5
2000/01,Oceania,New Zealand,Graduate,451
2000/01,Oceania,New Zealand,Other,67
2000/01,Oceania,New Zealand,Undergraduate,453
2000/01,Oceania,Niue,Graduate,1
2000/01,Oceania,Niue,Other,1
2000/01,Oceania,Niue,Undergraduate,2
2000/01,Oceania,Norfolk Island,Graduate,0
2000/01,Oceania,Norfolk Island,Other,0
2000/01,Oceania,Norfolk Island,Undergraduate,1
2000/01,Oceania,"Pacific Islands, Unspecified",Graduate,0
2000/01,Oceania,"Pacific Islands, Unspecified",Other,0
2000/01,Oceania,"Pacific Islands, Unspecified",Undergraduate,1
2000/01,Oceania,Palau,Graduate,4
2000/01,Oceania,Palau,Other,0
2000/01,Oceania,Palau,Undergraduate,44
2000/01,Oceania,Papua New Guinea,Graduate,10
2000/01,Oceania,Papua New Guinea,Other,0
2000/01,Oceania,Papua New Guinea,Undergraduate,20
2000/01,Oceania,Samoa,Graduate,16
2000/01,Oceania,Samoa,Other,0
2000/01,Oceania,Samoa,Undergraduate,103
2000/01,Oceania,Solomon Islands,Graduate,2
2000/01,Oceania,Solomon Islands,Other,0
2000/01,Oceania,Solomon Islands,Undergraduate,5
2000/01,Oceania,Tonga,Graduate,14
2000/01,Oceania,Tonga,Other,0
2000/01,Oceania,Tonga,Undergraduate,173
2000/01,Oceania,Tuvalu,Graduate,0
2000/01,Oceania,Tuvalu,Other,0
2000/01,Oceania,Tuvalu,Undergraduate,2
2000/01,Oceania,Vanuatu,Graduate,1
2000/01,Oceania,Vanuatu,Other,0
2000/01,Oceania,Vanuatu,Undergraduate,4
2000/01,Oceania,Wallis and Futuna,Graduate,0
2000/01,Oceania,Wallis and Futuna,Other,0
2000/01,Oceania,Wallis and Futuna,Undergraduate,0
2000/01,South America,Argentina,Graduate,1654
2000/01,South America,Argentina,Other,281
2000/01,South America,Argentina,Undergraduate,1237
2000/01,South America,Bolivia,Graduate,209
2000/01,South America,Bolivia,Other,39
2000/01,South America,Bolivia,Undergraduate,650
2000/01,South America,Brazil,Graduate,3097
2000/01,South America,Brazil,Other,755
2000/01,South America,Brazil,Undergraduate,4994
2000/01,South America,Chile,Graduate,824
2000/01,South America,Chile,Other,200
2000/01,South America,Chile,Undergraduate,529
2000/01,South America,Colombia,Graduate,2190
2000/01,South America,Colombia,Other,1029
2000/01,South America,Colombia,Undergraduate,3546
2000/01,South America,Ecuador,Graduate,505
2000/01,South America,Ecuador,Other,166
2000/01,South America,Ecuador,Undergraduate,1357
2000/01,South America,Falkland Islands/Islas Malvinas,Graduate,0
2000/01,South America,Falkland Islands/Islas Malvinas,Other,0
2000/01,South America,Falkland Islands/Islas Malvinas,Undergraduate,4
2000/01,South America,French Guiana,Graduate,0
2000/01,South America,French Guiana,Other,0
2000/01,South America,French Guiana,Undergraduate,5
2000/01,South America,Guyana,Graduate,76
2000/01,South America,Guyana,Other,20
2000/01,South America,Guyana,Undergraduate,313
2000/01,South America,Paraguay,Graduate,81
2000/01,South America,Paraguay,Other,43
2000/01,South America,Paraguay,Undergraduate,246
2000/01,South America,Peru,Graduate,1041
2000/01,South America,Peru,Other,230
2000/01,South America,Peru,Undergraduate,1390
2000/01,South America,"South America, Unspecified",Graduate,0
2000/01,South America,"South America, Unspecified",Other,0
2000/01,South America,"South America, Unspecified",Undergraduate,2
2000/01,South America,Suriname,Graduate,30
2000/01,South America,Suriname,Other,1
2000/01,South America,Suriname,Undergraduate,89
2000/01,South America,Uruguay,Graduate,237
2000/01,South America,Uruguay,Other,20
2000/01,South America,Uruguay,Undergraduate,140
2000/01,South America,Venezuela,Graduate,1821
2000/01,South America,Venezuela,Other,741
2000/01,South America,Venezuela,Undergraduate,2655
2000/01,South and Central Asia,Afghanistan,Graduate,11
2000/01,South and Central Asia,Afghanistan,Other,7
2000/01,South and Central Asia,Afghanistan,Undergraduate,57
2000/01,South and Central Asia,Bangladesh,Graduate,1583
2000/01,South and Central Asia,Bangladesh,Other,116
2000/01,South and Central Asia,Bangladesh,Undergraduate,2415
2000/01,South and Central Asia,Bhutan,Graduate,25
2000/01,South and Central Asia,Bhutan,Other,1
2000/01,South and Central Asia,Bhutan,Undergraduate,36
2000/01,South and Central Asia,India,Graduate,39797
2000/01,South and Central Asia,India,Other,2608
2000/01,South and Central Asia,India,Undergraduate,12259
2000/01,South and Central Asia,Kazakhstan,Graduate,236
2000/01,South and Central Asia,Kazakhstan,Other,44
2000/01,South and Central Asia,Kazakhstan,Undergraduate,260
2000/01,South and Central Asia,Kyrgyzstan,Graduate,65
2000/01,South and Central Asia,Kyrgyzstan,Other,20
2000/01,South and Central Asia,Kyrgyzstan,Undergraduate,75
2000/01,South and Central Asia,Maldives,Graduate,4
2000/01,South and Central Asia,Maldives,Other,0
2000/01,South and Central Asia,Maldives,Undergraduate,9
2000/01,South and Central Asia,Nepal,Graduate,609
2000/01,South and Central Asia,Nepal,Other,117
2000/01,South and Central Asia,Nepal,Undergraduate,1892
2000/01,South and Central Asia,Pakistan,Graduate,2175
2000/01,South and Central Asia,Pakistan,Other,294
2000/01,South and Central Asia,Pakistan,Undergraduate,4478
2000/01,South and Central Asia,"South and Central Asia, Unspecified",Graduate,6
2000/01,South and Central Asia,"South and Central Asia, Unspecified",Other,0
2000/01,South and Central Asia,"South and Central Asia, Unspecified",Undergraduate,0
2000/01,South and Central Asia,Sri Lanka,Graduate,792
2000/01,South and Central Asia,Sri Lanka,Other,90
2000/01,South and Central Asia,Sri Lanka,Undergraduate,1082
2000/01,South and Central Asia,Tajikistan,Graduate,22
2000/01,South and Central Asia,Tajikistan,Other,11
2000/01,South and Central Asia,Tajikistan,Undergraduate,86
2000/01,South and Central Asia,Turkmenistan,Graduate,23
2000/01,South and Central Asia,Turkmenistan,Other,10
